komoditas,jan,feb,mar,apr,mei,juni,juli,agst,sept,okt,nov,des,total_a1
Beras,325311,277228,334144,311491,290516,268825,247850,226176,204502,183528,161854,140879,375436
Gula Pasir,2510,1558,195,-1352,-2777,-4251,-5676,-7148,-8621,-10046,-11519,-12944,3031
Minyak Goreng,4341,4236,2852,1266,-180,-1675,-3122,-4616,-6111,-7557,-9051,-10498,5730
Daging Sapi,2656,2325,1904,1403,975,-235,-662,-1104,-1545,-1972,-2414,-2841,2767
Daging Ayam,49450,47294,45106,42571,40282,37903,35614,33249,30884,28596,26231,23942,49659
Telur Ayam,32304,33279,30916,28154,25798,23359,21003,18568,16134,13778,11343,8987,35714
Bawang Merah,736,682,235,-226,-511,-859,-1093,-1323,-1485,-1633,-1774,-1882,4547
Bawang Putih,612,515,111,-324,-698,-1071,-1408,-1742,-2059,-2347,-2634,-2893,1733
Jagung,255,151,257,224,219,215,210,205,200,195,190,185,493
Cabai Besar,1461,1208,374,-6,-106,-135,-140,-57,124,1198,1445,652,7924
Cabai Rawit,831,696,61,-73,-109,-142,-106,-107,-117,-97,-84,-129,7037
